ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,Arcilla,Limo,arena,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
13514,P16c,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.29353842,-35.47631698,testigo,NA,0,17,19.7,55,25.3,-999,1.001,0.399141631,0.232323232,-999,-999,-999,-999,-999,-999,-999,1.145,-999,-999,-999,-999,-999,-999,-999
13516,P18d,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.29936881,-35.47206619,testigo,NA,0,6,14.8,39,46.2,-999,1.204,0.251626898,0.116094987,-999,-999,-999,-999,-999,-999,-999,0.226666667,-999,-999,-999,-999,-999,-999,-999
13520,P22d,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.28718981,-35.46867697,testigo,NA,0,15,16,37.3,46.7,-999,1.247,0.239978034,0.177310293,-999,-999,-999,-999,-999,-999,-999,1.063333333,-999,-999,-999,-999,-999,-999,-999
13521,P23d,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.2925467,-35.47334313,testigo,NA,0,9,15,39.5,45.5,-999,1.197,0.287240022,0.137681159,-999,-999,-999,-999,-999,-999,-999,8.361666667,-999,-999,-999,-999,-999,-999,-999
13564,Rungue,13,Rungue,NA,Seguel,UChile,Tesis Carolina Munoz,-70.66166661,-33.14805545,testigo,Muestra superficial,0,20,36.4,32.5,31.1,2.62,1.23,0.412,0.232,0.127,0.012,0.18,0.232,-999,23,-999,-999,-999,-999,3.88,-999,-999,-999,8.85
13565,Rungue,13,Rungue,NA,Seguel,UChile,"Tesis Cristobal ""Topito el arrepentido"" Mendoza",-70.79388876,-33.14749968,testigo,Muestra superficial,0,20,32.5,38.9,21.3,2.31,1.06,0.39,0.276,0.166,0.036,0.114,0.276,-999,34.1,-999,-999,-999,-999,-999,-999,-999,-999,3.73
13567,Rinconada,13,Maipu,NA,Seguel,UChile,"Tesis Ignacio ""Maimo"" Fuentes",-70.82556191,-33.50333369,testigo,Muesta superficial,0,20,22,44,34,2.67,1.39,0.323,0.15,0.105,0.072,0.173,0.15,-999,-999,-999,-999,-999,-999,3.87,-999,-999,-999,-999
13568,Rinconada,13,Maipu,NA,Seguel,UChile,"Tesis Ignacio ""Maimo"" Fuentes",-70.82555545,-33.50333378,testigo,Muesta superficial,0,20,16.8,40.3,42.9,2.58,1.27,0.353,0.166,0.073,0.06,0.187,0.166,-999,-999,-999,-999,-999,-999,7.93,-999,-999,-999,-999
13569,CODPA 1 sin flor,15,Altiplano,NA,Galleguillos,UChile,NA,-69.70574416,-18.72767628,testigo,NA,0,10,8.175483871,45.98709677,45.83741935,-999,1.14750714,0.109816911,0.089329564,0.071619724,0.073211274,0.020487346,0.089329564,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13570,CODPA 2 con,15,Altiplano,NA,Galleguillos,UChile,NA,-69.66933838,-18.72257724,testigo,NA,0,10,9.177407127,49.96588324,40.85670963,-999,1.456586039,0.27400115,0.100238179,0.051948173,0.076394373,0.173762971,0.100238179,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
