id,soil depth,x,y,Fuente,profundidad,values
311,120,-72.96352448,-40.42750987,CIREN,0-5 cm,0.6615294635993171
313,75,-72.60732486,-42.40483746,CIREN,0-5 cm,0.5675107212477019
314,120,-71.05515898,-33.58474028,CIREN,0-5 cm,1.5242981888202556
315,65,-72.83918425,-40.09420196,CIREN,0-5 cm,0.8250153939739492
316,100,-72.50009664,-37.25689153,CIREN,0-5 cm,1.6594018256750835
317,95,-71.74230593,-35.80327649,CIREN,0-5 cm,1.7851084095955567
318,85,-71.34720801,-35.38437731,CIREN,0-5 cm,1.482468315522978
322,60,-71.22728938,-34.37333532,CIREN,0-5 cm,1.2658989334873856
323,125,-71.38450127,-33.90639154,CIREN,0-5 cm,1.7038850136627486
324,39,-71.11898352,-29.94852593,CIREN,0-5 cm,1.3
325,80,-72.02634517,-39.30552758,CIREN,0-5 cm,0.7508397854647105
327,120,-73.42756013,-37.92536728,CIREN,0-5 cm,0.9770963352866472
328,50,-71.97753062,-37.33324107,CIREN,0-5 cm,1.4057733034915114
329,136,-72.25451283,-38.65707278,CIREN,0-5 cm,0.6441054000725543
330,100,-71.48915555,-35.31122478,CIREN,0-5 cm,1.8850582876681237
331,50,-71.80766075,-36.27402341,CIREN,0-5 cm,1.5076326685152828
332,210,-72.40424424,-40.71670186,CIREN,0-5 cm,0.747847437378122
333,90,-72.27176204,-39.61513769,CIREN,0-5 cm,0.605300149987746
334,66,-73.92297368,-42.56749669,CIREN,0-5 cm,0.8142595805397669
335,70,-70.5222319,-30.01659596,CIREN,0-5 cm,1.6636249521436777
336,46,-72.60904123,-39.01714939,CIREN,0-5 cm,0.7166101809505888
337,88,-71.38487797,-33.91990836,CIREN,0-5 cm,1.623728586699258
338,104,-72.38167247,-37.45303706,CIREN,0-5 cm,1.3420919292282796
341,120,-70.84456437,-33.1302252,CIREN,0-5 cm,1.4893040632790573
342,73,-71.28465132,-34.44350156,CIREN,0-5 cm,1.2554046725537051
343,100,-70.73044844,-34.32546734,CIREN,0-5 cm,1.4651901251456656
344,115,-71.18678799,-33.48718241,CIREN,0-5 cm,2.3331829100716575
345,118,-73.01783814,-41.47693188,CIREN,0-5 cm,0.6354198225555013
346,130,-72.59706123,-40.63845675,CIREN,0-5 cm,0.707493181807879
347,110,-70.85369481,-33.86322753,CIREN,0-5 cm,1.5995040338358024
348,115,-72.45821871,-36.19588279,CIREN,0-5 cm,1.4525900427366838
349,110,-73.5317976,-40.69376764,CIREN,0-5 cm,0.739521704300757
350,100,-71.25811723,-33.87000395,CIREN,0-5 cm,1.7075263217459398
352,60,-72.45232722,-38.45703105,CIREN,0-5 cm,1.1287714395719337
354,120,-73.30630478,-38.78877722,CIREN,0-5 cm,1.1688138184621402
355,160,-73.0867416,-39.67197056,CIREN,0-5 cm,0.6919910166585331
357,112,-71.76862116,-35.89190005,CIREN,0-5 cm,1.7048675358198182
358,80,-72.57585453,-42.36996001,CIREN,0-5 cm,0.5763873241381617
359,100,-71.19562229,-31.6478738,CIREN,0-5 cm,1.6545892827157205
360,150,-73.1920735,-39.11640142,CIREN,0-5 cm,0.6394641835574832
361,46,-72.14505439,-36.88011427,CIREN,0-5 cm,1.262594882061051
362,70,-70.48107196,-30.10729583,CIREN,0-5 cm,1.1796271934697744
364,110,-70.88250415,-33.40019875,CIREN,0-5 cm,1.7836964672773632
365,70,-71.25519582,-31.73522187,CIREN,0-5 cm,1.750602133056993
367,76,-71.3391856,-34.33067636,CIREN,0-5 cm,1.218733116760501
369,120,-73.51901033,-40.57604938,CIREN,0-5 cm,0.7762176411791427
372,55,-71.32151239,-33.81653085,CIREN,0-5 cm,1.6439755022812037
373,100,-73.39010134,-38.77419766,CIREN,0-5 cm,1.0833166055284702
376,120,-73.06616466,-38.7282863,CIREN,0-5 cm,1.537989377651937
377,60,-71.62135158,-35.79245669,CIREN,0-5 cm,1.4999999999999998
378,110,-70.98303871,-30.01496878,CIREN,0-5 cm,1.7347668487538408
379,104,-72.662115,-41.04287738,CIREN,0-5 cm,0.8667261457243499
380,115,-72.56574936,-37.70163012,CIREN,0-5 cm,1.192462329092769
383,53,-71.07528112,-29.98909744,CIREN,0-5 cm,1.670785991637925
384,120,-72.02154199,-38.99080318,CIREN,0-5 cm,0.7223511249873247
385,55,-71.23546365,-30.10744731,CIREN,0-5 cm,1.7178745245540337
386,100,-71.01537702,-31.78677512,CIREN,0-5 cm,1.5361801995565638
387,80,-71.73620381,-35.39782138,CIREN,0-5 cm,1.582684440700537
388,120,-72.42342361,-36.69110141,CIREN,0-5 cm,1.3350477923610662
390,87,-71.28285858,-34.06793261,CIREN,0-5 cm,1.701232376166345
391,100,-72.40426454,-36.77810494,CIREN,0-5 cm,1.498973022422209
392,70,-70.69668594,-33.07641198,CIREN,0-5 cm,1.718163339805624
393,80,-71.41891698,-32.12451636,CIREN,0-5 cm,1.6764976190523646
397,92,-72.2620899,-38.63923154,CIREN,0-5 cm,0.8228544772979979
399,120,-72.07596024,-36.43975453,CIREN,0-5 cm,1.477819806596128
400,120,-73.23071426,-38.6326702,CIREN,0-5 cm,0.6805455850918265
402,120,-73.21229202,-41.32970875,CIREN,0-5 cm,0.8156212832762758
403,110,-72.46534815,-37.58597579,CIREN,0-5 cm,1.351441626985019
404,90,-71.44879746,-35.79339302,CIREN,0-5 cm,1.6
405,110,-72.59836502,-40.2876315,CIREN,0-5 cm,0.5844358305913027
406,90,-72.51625491,-37.65554145,CIREN,0-5 cm,1.1835079242480089
407,130,-73.5432926,-40.92587123,CIREN,0-5 cm,0.8609081654130684
408,120,-73.03298577,-38.02441915,CIREN,0-5 cm,1.737356276277858
409,80,-72.93522489,-40.29278791,CIREN,0-5 cm,0.6042779424521358
410,105,-70.82973323,-33.49838176,CIREN,0-5 cm,1.5683047276218705
412,90,-70.75252318,-34.13218908,CIREN,0-5 cm,1.4339711700962117
413,120,-71.77894425,-35.45633277,CIREN,0-5 cm,1.354836032276188
414,100,-71.85117182,-38.43876729,CIREN,0-5 cm,0.6839159708252768
416,120,-72.3764375,-40.35352116,CIREN,0-5 cm,0.8166452181498433
417,120,-70.78958051,-33.06158529,CIREN,0-5 cm,1.7999999999999998
418,107,-72.89493984,-40.75462468,CIREN,0-5 cm,1.1725748728033216
419,90,-72.95163704,-39.56876669,CIREN,0-5 cm,0.886395961830066
420,26,-71.2435823,-30.00284492,CIREN,0-5 cm,1.69
421,145,-71.69725818,-36.45816616,CIREN,0-5 cm,0.973493549957038
422,100,-72.84863849,-38.05633419,CIREN,0-5 cm,1.359658597613535
423,90,-71.29048212,-33.62461713,CIREN,0-5 cm,1.8095689196817584
425,100,-72.58299976,-37.46678259,CIREN,0-5 cm,1.0903607315368968
427,32,-72.18586756,-36.5153921,CIREN,0-5 cm,1.2749458169807246
428,20,-71.74254054,-35.61670072,CIREN,0-5 cm,1.6
431,54,-72.65961621,-39.75378898,CIREN,0-5 cm,0.7888025566400084
432,103,-72.10962906,-38.65989198,CIREN,0-5 cm,0.695265920621918
433,90,-71.45108164,-35.28856596,CIREN,0-5 cm,1.7000000000000002
434,90,-70.88948583,-30.40401591,CIREN,0-5 cm,1.6041260128260997
435,94,-72.13497419,-38.47041318,CIREN,0-5 cm,0.7212824216732607
436,90,-71.00305357,-31.78823239,CIREN,0-5 cm,1.5434733952209077
437,120,-71.35522176,-33.9033487,CIREN,0-5 cm,1.7843847176912868
438,120,-72.78038106,-38.20284273,CIREN,0-5 cm,1.3513882293179262
442,70,-70.75606843,-33.52830549,CIREN,0-5 cm,1.7000000000000002
443,57,-71.10623843,-34.0232731,CIREN,0-5 cm,1.5293578743098477
444,250,-72.83227221,-37.77982684,CIREN,0-5 cm,1.3241470141018203
446,90,-72.35951685,-37.08540978,CIREN,0-5 cm,1.4408488133559312
447,90,-71.04075133,-34.48298063,CIREN,0-5 cm,1.7489949597943584
450,100,-71.56153732,-35.37461255,CIREN,0-5 cm,1.726376696316782
451,50,-72.84131976,-37.16014928,CIREN,0-5 cm,1.5443085989020688
452,85,-70.81246292,-33.34082102,CIREN,0-5 cm,1.2934375468060877
455,64,-72.81027137,-38.76432051,CIREN,0-5 cm,1.0284033488055389
456,45,-73.90044502,-42.70551655,CIREN,0-5 cm,1.0222207371994394
458,150,-72.57366417,-36.33879589,CIREN,0-5 cm,1.7028632066829636
459,120,-72.70199965,-36.04208877,CIREN,0-5 cm,1.0123186145687837
460,58,-71.05809682,-31.78942879,CIREN,0-5 cm,1.496744618963716
461,138,-72.50696803,-37.5264825,CIREN,0-5 cm,1.4167920339656133
